12,517,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isolates,Pop,D13,D13,D13,D13,G11,G11,G11,G11,Pi04,Pi04,Pi04,Pi04,Pi4B,Pi4B,Pi4B,Pi4B,Pi63,Pi63,Pi63,Pi63,Pi70,Pi70,Pi70,Pi70,SSR11,SSR11,SSR11,SSR11,SSR2,SSR2,SSR2,SSR2,SSR3,SSR3,SSR3,SSR3,SSR4,SSR4,SSR4,SSR4,SSR6,SSR6,SSR6,SSR6,SSR8,SSR8,SSR8,SSR8
SGF22,San Gerónimo_2015,154,210,212,0,154,162,0,0,166,170,0,0,217,223,0,0,270,273,0,0,192,192,0,0,341,356,0,0,173,173,0,0,258,268,0,0,289,291,0,0,242,244,0,0,260,266,0,0
SGF27,San Gerónimo_2015,140,140,0,0,156,206,0,0,170,170,0,0,213,213,0,0,270,270,0,0,189,192,0,0,341,356,0,0,175,177,0,0,268,268,0,0,295,295,0,0,244,244,0,0,260,272,0,0
SGF30,San Gerónimo_2015,140,140,0,0,156,206,0,0,170,170,0,0,213,213,0,0,270,270,0,0,189,192,0,0,341,356,0,0,175,177,0,0,268,268,0,0,295,295,0,0,244,244,0,0,260,272,0,0
SGF31,San Gerónimo_2015,140,140,0,0,156,206,0,0,170,170,0,0,213,213,0,0,270,270,0,0,189,192,0,0,341,356,0,0,175,177,0,0,268,268,0,0,295,295,0,0,244,244,0,0,260,272,0,0
SGF33,San Gerónimo_2015,210,212,0,0,160,160,0,0,166,170,0,0,213,213,0,0,273,279,0,0,192,192,0,0,356,356,0,0,173,175,0,0,266,266,0,0,289,289,0,0,244,244,0,0,264,266,0,0
SGF40,San Gerónimo_2015,136,140,0,0,152,164,0,0,166,170,0,0,209,213,0,0,279,279,0,0,192,192,0,0,356,356,0,0,173,175,0,0,258,266,0,0,289,291,0,0,244,244,0,0,260,266,0,0
SGF41,San Gerónimo_2015,136,140,0,0,152,164,0,0,166,170,0,0,209,213,0,0,279,279,0,0,192,192,0,0,356,356,0,0,173,175,0,0,258,266,0,0,289,291,0,0,244,244,0,0,260,266,0,0
SGF44,San Gerónimo_2015,136,140,180,0,156,200,206,0,166,170,0,0,209,213,0,0,270,270,0,0,189,192,0,0,341,356,0,0,173,175,177,0,258,266,268,0,291,295,0,0,244,244,0,0,260,266,272,0
SGF47,San Gerónimo_2015,140,140,0,0,156,206,0,0,170,170,0,0,213,213,0,0,270,270,0,0,189,192,0,0,341,356,0,0,175,177,0,0,268,268,0,0,295,295,0,0,244,244,0,0,260,272,0,0
SGF49,San Gerónimo_2015,140,140,0,0,156,206,0,0,170,170,0,0,213,213,0,0,270,270,0,0,189,192,0,0,341,356,0,0,175,177,0,0,268,268,0,0,295,295,0,0,244,244,0,0,260,272,0,0
SGF51,San Gerónimo_2015,140,140,0,0,156,206,0,0,170,170,0,0,213,213,0,0,270,270,0,0,189,192,0,0,341,356,0,0,175,177,0,0,268,268,0,0,295,295,0,0,244,244,0,0,260,272,0,0
SGF56,San Gerónimo_2015,140,140,0,0,156,206,0,0,170,170,0,0,213,213,0,0,270,270,0,0,189,192,0,0,341,356,0,0,175,177,0,0,268,268,0,0,295,295,0,0,244,244,0,0,260,272,0,0
SGF58,San Gerónimo_2015,136,140,0,0,152,164,0,0,166,170,0,0,209,213,0,0,279,279,0,0,192,192,0,0,356,356,0,0,173,175,0,0,258,266,0,0,289,291,0,0,244,244,0,0,260,266,0,0
SGF59,San Gerónimo_2015,136,210,212,228,152,160,206,0,166,170,0,0,209,213,225,0,273,279,0,0,192,192,0,0,341,356,0,0,173,175,0,0,266,268,0,0,289,289,0,0,242,244,0,0,264,266,0,0
SGF60,San Gerónimo_2015,140,146,0,0,162,162,0,0,166,170,0,0,213,217,0,0,279,279,0,0,189,192,0,0,341,356,0,0,173,175,0,0,266,268,0,0,291,291,0,0,244,250,0,0,260,266,0,0
SGF63,San Gerónimo_2015,140,140,0,0,156,206,0,0,170,170,0,0,213,213,0,0,270,270,0,0,189,192,0,0,341,356,0,0,175,177,0,0,268,268,0,0,295,295,0,0,244,244,0,0,260,272,0,0
SGF65,San Gerónimo_2015,140,140,0,0,156,156,0,0,166,170,0,0,213,217,0,0,279,279,0,0,189,192,0,0,341,341,0,0,173,173,0,0,268,270,0,0,289,291,0,0,244,244,0,0,264,264,0,0
SGF66,San Gerónimo_2015,140,140,0,0,210,210,0,0,170,170,0,0,213,213,0,0,270,270,0,0,189,192,0,0,341,356,0,0,173,173,0,0,266,266,0,0,285,295,0,0,242,244,0,0,264,266,0,0
SGF67,San Gerónimo_2015,174,176,0,0,138,138,0,0,170,170,0,0,213,213,0,0,279,279,0,0,192,192,0,0,341,356,0,0,173,175,0,0,264,268,0,0,289,291,0,0,240,244,0,0,266,266,0,0
SGF69,San Gerónimo_2015,140,140,0,0,156,206,0,0,170,170,0,0,213,213,0,0,270,270,0,0,189,192,0,0,341,356,0,0,175,177,0,0,268,268,0,0,295,295,0,0,244,244,0,0,260,272,0,0
SGF72,San Gerónimo_2015,140,140,0,0,156,156,0,0,166,170,0,0,213,217,0,0,279,279,0,0,189,192,0,0,341,341,0,0,173,173,0,0,268,270,0,0,289,291,0,0,244,244,0,0,264,264,0,0
SGF75,San Gerónimo_2015,210,212,0,0,160,160,0,0,166,170,0,0,213,213,0,0,273,279,0,0,192,192,0,0,356,356,0,0,173,175,0,0,266,266,0,0,289,289,0,0,244,244,0,0,264,266,0,0
SGF78,San Gerónimo_2015,124,144,0,0,162,206,0,0,166,170,0,0,213,225,0,0,273,273,0,0,189,189,0,0,341,356,0,0,175,175,0,0,258,266,0,0,289,291,0,0,244,244,0,0,260,260,0,0
SGF79,San Gerónimo_2015,172,174,0,0,142,156,0,0,166,170,0,0,213,213,0,0,279,279,0,0,192,192,0,0,341,356,0,0,177,177,0,0,268,268,0,0,0,0,0,0,244,244,0,0,260,272,0,0
SGF80,San Gerónimo_2015,152,174,176,0,206,206,0,0,166,170,0,0,209,213,0,0,279,279,0,0,189,189,0,0,341,356,0,0,173,175,0,0,262,266,0,0,289,291,0,0,244,244,0,0,260,264,0,0
SGF81,San Gerónimo_2015,140,144,0,0,210,216,0,0,166,166,0,0,209,217,225,0,270,273,0,0,192,192,0,0,341,356,0,0,173,173,0,0,266,266,0,0,291,291,0,0,244,244,0,0,260,266,272,0
SGF83,San Gerónimo_2015,144,144,0,0,134,154,0,0,166,170,0,0,213,213,0,0,270,279,0,0,192,192,0,0,341,341,0,0,173,175,0,0,258,268,0,0,293,295,0,0,240,244,0,0,266,266,0,0
SGF84,San Gerónimo_2015,108,152,0,0,148,148,0,0,170,170,0,0,209,213,0,0,270,279,0,0,192,192,0,0,341,356,0,0,173,175,0,0,258,266,0,0,289,289,0,0,244,244,0,0,266,272,0,0
SGF85,San Gerónimo_2015,150,150,0,0,162,212,0,0,166,170,0,0,213,213,0,0,270,279,0,0,189,192,0,0,341,341,0,0,173,173,0,0,266,268,0,0,291,293,0,0,244,244,0,0,260,260,0,0
